Year Ending,TTM,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
EPS Growth,-12.69%,-14.21%,67.64%,15.94%,44.32%,-2.50%,5.26%,3.99%,9.50%,19.06%,38.17%,15.45%,18.73%,-16.85%,81.10%,-18.68%,-5.37%,-10.15%,40.06%,-0.28%,94.08%,119.23%,50.36%,-79.19%,
Free Cash Flow Per Share,89.72,56.45,101.99,52.48,60.03,29.89,49.86,49.02,40.70,52.68,25.68,11.57,7.52,6.62,8.23,13.97,31.20,18.48,23.45,14.70,14.31,15.26,8.63,1.18,-1.77
Dividend Per Share,1.95,1.85,1.86,1.89,1.71,2.01,1.35,0.93,0.93,0.58,0.40,0.40,0.40,0.41,0.37,0.36,0.39,0.44,0.38,0.29,0.08,0.00,0.00,0.00,0.00
Dividend Growth,7.49%,-0.54%,-1.90%,10.90%,-14.96%,49.14%,45.09%,-0.22%,59.62%,45.50%,0.00%,0.00%,-2.44%,10.81%,2.78%,-7.22%,-11.42%,15.87%,30.34%,249.40%,,,,,
Gross Margin,53.57%,54.36%,59.56%,51.63%,53.10%,46.05%,48.28%,50.62%,50.09%,48.65%,49.51%,47.13%,48.18%,45.46%,49.35%,43.73%,42.55%,44.12%,49.09%,44.34%,45.03%,36.89%,32.23%,26.74%,47.29%
Operating Margin,41.82%,42.63%,49.53%,40.95%,42.32%,34.83%,37.20%,39.45%,39.87%,37.94%,38.78%,35.19%,35.76%,33.16%,37.94%,31.10%,31.35%,34.63%,40.10%,34.13%,34.40%,25.27%,19.46%,10.15%,36.88%
Profit Margin,38.75%,39.40%,43.86%,37.32%,38.14%,33.08%,35.20%,35.30%,34.99%,35.90%,33.34%,30.82%,31.47%,31.42%,38.52%,30.17%,30.00%,33.84%,40.01%,35.10%,35.89%,23.28%,13.31%,11.51%,39.17%
Free Cash Flow Margin,20.72%,13.54%,23.36%,17.14%,23.25%,14.49%,25.07%,26.01%,22.27%,32.39%,17.46%,10.04%,7.69%,8.04%,10.17%,24.42%,48.77%,30.94%,39.94%,29.20%,28.86%,38.59%,26.97%,4.70%,-5.18%
Effective Tax Rate,13.20%,13.09%,13.18%,10.59%,12.62%,9.19%,8.66%,12.91%,14.03%,13.59%,15.85%,14.86%,12.30%,7.38%,4.71%,6.30%,9.87%,9.69%,5.77%,0.67%,-0.40%,7.66%,20.69%,-34.82%,-1.83%
EBITDA,1595149,1524219,1592705,1090324,918288,679918,693087,659594,612973,576192,505679,374918,314225,253204,257829,176420,193009,201734,209389,171268,163137,123122,95959,70696,109781
EBITDA Margin,71.03%,70.51%,70.35%,68.69%,68.57%,63.54%,67.19%,67.48%,64.66%,68.31%,66.29%,62.80%,62.01%,59.29%,61.46%,59.65%,57.93%,62.53%,65.97%,64.25%,63.43%,60.65%,59.12%,56.16%,66.05%
Depreciation & Amortization,580891,532191,437254,422395,331725,286884,292546,260143,223828,222506,200252,156182,131349,107682,87810,80815,81512,80005,73715,75649,69819,69161,65001,55323,41446
EBIT,1014257,992028,1155451,667929,586564,393034,400541,399452,389144,353686,305428,218736,182876,145522,170019,95606,111497,121729,135674,95619,93319,53961,30958,15373,68335
EBIT Margin,45.16%,45.89%,51.04%,42.08%,43.80%,36.73%,38.83%,40.87%,41.05%,41.93%,40.04%,36.64%,36.09%,34.07%,40.53%,32.33%,33.47%,37.73%,42.74%,35.87%,36.28%,26.58%,19.07%,12.21%,41.12%
