Year Ending,TTM,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31
EPS Growth,-8.84%,40.76%,-1.46%,69.10%,37.89%,1.15%,26.93%,31.59%,13.40%,18.01%,16.24%,-12.69%,-21.64%,46.78%,,,-47.52%,11.90%,96.88%,16.15%,,,,,
Free Cash Flow Per Share,7.53,8.35,18.12,24.27,8.76,5.96,5.88,3.44,3.17,3.84,1.53,1.96,1.25,4.16,1.87,0.40,0.05,1.14,0.89,1.35,0.45,1.17,-0.32,-1.18,0.18
Dividend Per Share,6.64,6.49,6.93,3.98,2.91,3.54,1.72,1.27,1.15,0.69,0.84,0.69,12.48,0.59,0.24,0.23,0.32,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Growth,9.41%,-6.33%,74.12%,36.96%,-18.00%,106.29%,34.96%,11.18%,66.18%,-18.36%,22.32%,-94.47%,2033.16%,142.74%,4.78%,-26.98%,-88.91%,,,,,,,,
Gross Margin,51.44%,51.29%,50.54%,52.71%,48.63%,44.67%,45.95%,44.85%,45.75%,46.06%,44.33%,41.51%,42.38%,43.34%,43.37%,24.13%,34.38%,41.12%,40.59%,38.52%,36.73%,23.90%,23.87%,1.95%,41.19%
Operating Margin,30.66%,32.81%,30.70%,36.27%,28.98%,23.61%,27.10%,27.22%,25.58%,24.89%,21.90%,19.98%,24.45%,29.04%,27.74%,-4.76%,9.79%,21.62%,24.08%,17.76%,15.37%,-10.05%,-4.80%,-37.16%,20.29%
Profit Margin,26.50%,28.44%,26.56%,31.61%,25.42%,21.93%,23.68%,23.06%,22.66%,22.06%,20.43%,19.36%,24.23%,25.96%,22.67%,-5.10%,10.91%,17.81%,17.27%,12.32%,9.55%,-10.39%,-10.61%,-30.14%,14.15%
Free Cash Flow Margin,11.64%,11.93%,34.03%,53.44%,26.22%,21.23%,22.83%,16.51%,19.63%,26.30%,11.39%,16.08%,11.24%,31.31%,18.08%,10.77%,0.79%,13.98%,11.78%,25.78%,7.76%,32.38%,-6.84%,-30.88%,2.72%
Effective Tax Rate,15.58%,15.48%,14.71%,14.79%,13.43%,6.89%,11.95%,12.90%,13.08%,10.42%,6.05%,0.78%,0.37%,11.02%,17.76%,,-4.11%,20.89%,28.22%,28.40%,35.11%,,,,30.76%
EBITDA,8792,9973,7222,7420,4631,3258,3394,2841,2115,1862,1537,1277,1343,1806,1417,164,483,1019,999,578,497,-44,-88,-521,706
EBITDA Margin,34.55%,36.19%,34.11%,39.87%,33.13%,27.56%,31.01%,31.69%,30.77%,29.61%,26.24%,24.34%,28.39%,31.97%,31.44%,10.25%,16.36%,27.05%,27.90%,22.86%,20.16%,-2.84%,-4.49%,-32.81%,26.43%
Depreciation & Amortization,830,740,584,471,491,449,423,418,357,297,255,229,187,165,151,240,121,126,87,91,90,145,166,127,111
EBIT,7962,9234,6639,6949,4140,2809,2972,2423,1759,1565,1282,1048,1157,1641,1266,-76,362,893,912,488,407,-189,-254,-648,595
EBIT Margin,31.29%,33.51%,31.35%,37.34%,29.62%,23.76%,27.15%,27.03%,25.58%,24.89%,21.90%,19.98%,24.45%,29.04%,28.08%,-4.76%,12.25%,23.69%,25.47%,19.28%,16.51%,-12.23%,-12.97%,-40.79%,22.27%
